,price (CLP),rooms,size (m2),address
1234,300000,1.0,40.0,"Avenida Ejército Libertador 600 - 900, Santiago, Chile, Ejército - Toesca, Santiago"
1235,280000,1.0,30.0,"San Isidro 1 - 300, Santiago, Chile, Santa Isabel, Santiago"
1237,370000,1.0,38.0,"Manuel Rodríguez Sur, Ejército - Toesca, Santiago"
1238,370000,2.0,40.0,"Sazié 2400 - 2700, Santiago, Chile, Barrio República, Santiago"
1239,495000,2.0,60.0,"Avenida Vicuña Mackenna 1385, Ñuñoa, Santiago, Chile, Bogotá - Sierra Bella, Santiago"
1240,550000,2.0,53.0,"Dieciocho 747, Santiago, Chile, Parque Almagro, Santiago"
1241,410000,2.0,45.0,"Arturo Prat 1200 - 1500, Santiago, Chile, Parque O'higgins, Santiago"
1243,300000,1.0,30.0,"Gral. Bulnes 158, Barrio Yungay, Santiago"
1244,320000,1.0,42.0,"Av Blanco Encalada 2051 2101, Ejército - Toesca, Santiago"
1245,440000,2.0,43.0,"San Diego 300 - 600, Santiago, Chile, Parque Almagro, Santiago"
1246,390000,2.0,48.0,"San Francisco, Bulnes, Santiago"
1247,370000,1.0,46.0,"Portugal 120, Barrio República, Santiago"
1248,470000,2.0,68.0,"Barrio Diez De Julio, Santiago"
1249,300000,1.0,33.0,"Eleuterio Ramirez / Metro Parque Almagro, San Diego, Santiago"
1250,290000,1.0,32.0,"Lira // Santa Isabel, Santa Isabel, Santiago"
1251,320000,2.0,30.0,"Sector Catedra- Teatinos, Santiago, Centro Histórico De Santiago, Santiago"
1252,395000,2.0,63.0,"Avenida Mapocho 2400 - 2700, Santiago, Chile, Parque Los Reyes, Santiago"
1253,290000,1.0,32.0,"Depto. 1d, 1b, Terraza 8 Mts2, Metro Cuming 2425, Parque Los Reyes, Santiago"
1254,360500,1.0,37.0,"Arriendo Departamento, Metro Parque Almagro 1289, Parque Almagro, Santiago"
1255,479862,2.0,65.0,"Estación De Metro Ñuble, Bogotá - Sierra Bella, Santiago"
1256,330000,2.0,40.0,"San Ignacio De Loyola 1498 Esquina Pedro Lagos 2 Dorm 1 Baño, Parque O'higgins, Santiago"
1258,400000,2.0,41.0,"Vicuña Mackenna Con Irarrazabal, Bogotá - Sierra Bella, Santiago"
1259,340000,1.0,35.0,"Santa Elvira 97, Bogotá - Sierra Bella, Santiago"
1260,280000,1.0,33.0,"Avenida Santa Rosa 634, Santiago, Chile, Barrio Diez De Julio, Santiago"
1261,360000,1.0,36.0,"Eleuterio Ramirez / Santa Rosa, Bulnes, Santiago"
1263,350000,1.0,35.0,"Entre Calle Lira Y Portugal / A Dos Cuadras De Alameda, Santa Isabel, Santiago"
1264,290000,1.0,30.0,"Manuel Antonio Matta 747, San Diego, Santiago"
1265,490000,2.0,54.0,"Fray Camilo Henriquez 650, Barrio Diez De Julio, Santiago"
1266,580000,2.0,77.0,"Almirante Latorre Con Claudio Gay, Ejército - Toesca, Santiago"
1267,410000,2.0,57.0,"Cóndor 1068, Santiago, Chile, San Diego, Santiago"
1268,310000,1.0,26.0,"Arturo Prat 631, San Diego, Santiago"
1269,250000,1.0,30.0,"Amunátegui 695, Santiago, Chile, Centro Histórico De Santiago, Santiago"
1270,330000,2.0,50.0,"Yungay/balmaceda, Parque Los Reyes, Santiago"
1272,320000,1.0,31.0,"General Jofré 110, Santa Isabel, Santiago"
1273,480000,2.0,49.0,"Franklin 200, Santiago, Chile, Bogotá - Sierra Bella, Santiago"
1275,400000,2.0,55.0,"Edificio &quot;club C&quot; Calle Carmen, Barrio San Isidro, Barrio Diez De Julio, Santiago"
1276,340000,1.0,35.0,"Santa Rosa/av. Manuel Antonio Matta, San Diego, Santiago"
1277,250000,1.0,38.0,"Avenida Brasil 875, Parque Los Reyes, Santiago"
1278,500000,2.0,60.0,"Calle San Ignacio De Loyola, Parque Almagro, Santiago"
1279,350000,1.0,37.0,"Lira Entre Calles Argomedo Y Santa Isabel, Santa Isabel, Santiago"
1280,280000,1.0,36.0,"Condor 1394, Parque Almagro, Santiago"
1281,330000,1.0,42.0,"Moneda, Barrio Yungay, Santiago"
1282,380000,1.0,31.0,"Eleuterio Ramírez, Parque Almagro, Santiago"
1283,420000,1.0,31.0,"Santo Domingo, Centro Histórico De Santiago, Santiago"
1284,380000,1.0,38.0,"Vicuña Mackenna. Metro Ñuble, Bogotá - Sierra Bella, Santiago"
1285,300000,1.0,36.0,"Avenida Santa Rosa 202, Santiago, Chile, Santa Isabel, Santiago"
1286,450000,2.0,57.0,"Blanco Encalada / España, Barrio República, Santiago"
1287,288000,1.0,35.0,"Sazié, Barrio República, Santiago"
1288,360000,1.0,35.0,"Arriendo Dpto Bellas Artes, Barrio Lastarria, Santiago"
